EMGSignal1,EMGSignal2,CyberGloveData,Movement
6.59E-06,7.29E-06,0.02589,flexion
1.52E-06,5.68E-06,0.02589,flexion
2.47E-06,5.13E-06,0.02589,flexion
4.70E-06,1.02E-06,0.02589,flexion
1.86E-06,4.71E-06,0.02589,flexion
7.11E-06,6.37E-06,0.02589,flexion
6.59E-06,4.02E-06,-0.00863,extension
4.28E-06,4.82E-06,-0.00863,flexion
3.89E-06,1.08E-05,-0.04315,extension
5.04E-06,3.02E-06,-0.04315,flexion
3.00E-06,9.50E-06,-0.04315,flexion
2.90E-06,6.73E-06,-0.07767,extension
3.89E-06,2.92E-06,-0.07767,flexion
6.22E-06,1.14E-06,-0.07767,flexion
2.15E-06,3.42E-06,-0.07767,flexion
5.11E-06,3.62E-06,-0.07767,flexion
1.21E-05,8.24E-06,-0.04315,flexion
7.01E-08,2.64E-06,0,flexion
2.81E-07,3.34E-05,0,flexion
7.23E-06,6.23E-08,0.06904,flexion
1.38E-06,2.08E-05,0.10356,flexion
9.00E-06,1.95E-06,0.13808,flexion
6.85E-06,4.91E-06,0.20712,flexion
1.03E-06,4.38E-06,0.24164,flexion
5.19E-07,4.42E-06,0.24164,flexion
2.53E-06,2.78E-06,0.24164,flexion
7.60E-06,4.33E-06,0.19849,extension
6.22E-06,6.48E-06,0.12945,extension
6.28E-07,6.77E-06,0.06041,extension
1.15E-04,9.15E-06,0.01726,extension
3.90E-06,3.97E-06,-0.01726,extension
3.73E-05,1.81E-06,-0.01726,flexion
1.71E-07,3.49E-06,-0.01726,flexion
1.02E-05,1.06E-07,-0.05178,extension
2.67E-06,3.43E-06,-0.0863,extension
3.75E-06,5.44E-06,-0.12082,extension
3.75E-06,2.81E-06,-0.15534,extension
1.69E-06,8.79E-06,-0.15534,flexion
3.65E-06,3.28E-06,-0.18986,extension
2.59E-06,1.11E-06,-0.18986,flexion
1.42E-05,6.35E-05,-0.18986,flexion
8.40E-07,2.31E-05,-0.18986,flexion
7.56E-06,2.82E-05,-0.18986,flexion
1.03E-05,5.83E-06,-0.15534,flexion
1.30E-07,4.18E-06,-0.15534,flexion
2.19E-06,1.25E-07,-0.12082,flexion
1.24E-08,1.17E-06,-0.12082,flexion
5.47E-06,1.66E-06,-0.12082,flexion
8.03E-06,3.78E-06,-0.0863,flexion
4.17E-06,8.63E-07,-0.05178,flexion
3.38E-06,2.15E-07,0.01726,flexion
3.83E-05,4.57E-07,0.0863,flexion
2.91E-07,1.84E-06,0.1726,flexion
9.19E-06,5.19E-06,0.20712,flexion
7.24E-06,3.51E-06,0.24164,flexion
8.34E-06,2.82E-06,0.24164,flexion
3.63E-06,1.18E-06,0.24164,flexion
3.55E-06,4.51E-06,0.20712,extension
1.49E-06,1.91E-07,0.1726,extension
2.32E-06,6.15E-06,0.12945,extension
4.94E-06,2.86E-06,0.09493,extension
2.27E-06,3.90E-06,0.05178,extension
4.22E-06,7.37E-07,-0.01726,extension
7.36E-06,2.77E-06,-0.09493,extension
4.79E-06,1.31E-05,-0.16397,extension
8.35E-06,1.30E-06,-0.16397,flexion
1.33E-05,4.06E-06,-0.20712,extension
1.23E-05,1.74E-07,-0.24164,extension
2.78E-06,3.99E-07,-0.24164,flexion
3.10E-06,5.18E-06,-0.24164,flexion
1.50E-05,3.53E-06,-0.24164,flexion
3.41E-05,6.34E-06,-0.24164,flexion
1.40E-05,3.63E-08,-0.24164,flexion
4.32E-05,1.84E-06,-0.19849,flexion
1.03E-05,1.37E-06,-0.12945,flexion
8.60E-06,8.30E-06,-0.12945,flexion
8.05E-06,1.24E-06,-0.12945,flexion
