EMGSignal1,EMGSignal2,CyberGloveData,Movement
2.2186302E-6,3.382819E-6,0.06041,flexion
2.5836675E-6,1.1307308E-5,0.06041,flexion
3.7566062E-6,1.2896024E-6,0.06041,flexion
4.245535E-6,6.6943358E-6,0.06041,flexion
2.578243E-6,1.913989E-6,0.06041,flexion
5.433775E-6,4.8845945E-6,0.06041,flexion
3.637844E-6,4.7677154E-6,0.06041,flexion
1.1030158E-6,1.3484706E-5,0.06041,flexion
1.6104643E-6,3.3265355E-6,0.06041,flexion
2.3456448E-6,8.056773E-6,0.06041,flexion
2.5683873E-6,2.7431778E-7,0.35383,flexion
5.8378314E-6,5.722553E-6,0.66451,flexion
1.264273E-6,2.0386697E-6,0.90615,flexion
8.742406E-7,2.524667E-6,1.06149,flexion
2.6710703E-7,2.490991E-6,1.09601,flexion
1.0030744E-6,3.7289376E-6,1.09601,flexion
3.0516458E-6,3.3120218E-6,1.09601,flexion
5.7034804E-6,1.9869567E-5,1.09601,flexion
8.4501715E-7,4.959789E-5,0.47465,extension
4.4377807E-6,3.2882586E-8,0.02589,extension
7.1366476E-6,5.177772E-5,-0.2589,extension
2.0634257E-6,7.4411786E-5,-0.36246,extension
3.85391E-6,3.496845E-5,-0.36246,flexion
3.805795E-5,2.1083038E-6,-0.36246,flexion
5.148503E-6,1.0469734E-6,-0.36246,flexion
1.7265093E-5,9.566408E-6,-0.36246,flexion
6.5580214E-5,9.297552E-7,-0.29342,flexion
1.20448036E-4,1.5802698E-5,-0.18986,flexion
6.687555E-5,7.380862E-6,-0.0863,flexion
1.0952459E-5,8.426336E-6,0.46602,flexion
4.165394E-5,4.7485164E-6,0.80259,flexion
3.9105307E-6,2.751875E-6,0.99245,flexion
2.4686247E-5,2.3543316E-5,1.02697,flexion
8.5441906E-7,3.0438703E-5,1.06149,flexion
1.9937604E-6,8.104296E-6,1.06149,flexion
2.2692939E-7,4.3840555E-5,1.09601,flexion
6.7724773E-6,7.066575E-6,1.09601,flexion
4.813716E-6,7.9204554E-5,1.13053,flexion
1.8062608E-5,3.4161745E-5,0.03452,extension
6.4445017E-6,4.6130368E-5,-0.23301,extension
1.514921E-6,1.1749615E-5,-0.31068,extension
5.2011737E-6,2.5152704E-5,-0.44876,extension
2.6244102E-6,2.9587864E-5,-0.44876,flexion
6.13231E-6,5.757235E-5,-0.41424,flexion
5.5206006E-6,6.3935704E-6,-0.25027,flexion
8.985762E-6,3.4195075E-6,-0.1726,flexion
1.46192315E-5,7.0839005E-6,-0.06904,flexion
3.958826E-5,9.562962E-6,0.03452,flexion
2.6902888E-5,9.704107E-6,0.18123,flexion
2.1805881E-5,7.976561E-6,0.12082,extension
1.3531894E-6,8.314585E-6,-0.02589,extension
5.8628706E-5,1.136932E-5,-0.14671,extension
3.6194007E-5,2.9838661E-6,-0.2589,extension
3.499033E-6,3.4423015E-6,-0.25027,flexion
1.5443244E-5,4.4107383E-6,-0.21575,flexion
1.3261797E-6,1.0564575E-5,-0.13808,flexion
5.3333815E-6,2.6297117E-5,-0.10356,flexion
6.1997553E-6,9.602022E-6,-0.03452,flexion
1.2052224E-6,2.4463852E-6,-0.3452,extension
4.073702E-6,8.6852094E-7,-0.09493,flexion
5.7798735E-7,2.4521742E-6,0.52643,flexion
2.0804438E-5,2.2153897E-6,1.02697,flexion
2.555775E-5,4.0921886E-6,1.18231,flexion
9.4284815E-7,1.7780847E-6,1.18231,flexion
4.0718194E-5,6.4482174E-6,1.14779,extension
6.6539264E-6,5.285256E-7,0.59547,extension
8.011419E-6,2.981402E-6,0.0863,extension
