EMGSignal1,EMGSignal2,CyberGloveData,Movement
6.5940912E-6,7.2898724E-6,0.02589,flexion
1.5203291E-6,5.6784365E-6,0.02589,flexion
2.4749459E-6,5.127712E-6,0.02589,flexion
4.6989435E-6,1.0165656E-6,0.02589,flexion
1.856569E-6,4.7131834E-6,0.02589,flexion
7.111544E-6,6.3673156E-6,0.02589,flexion
6.5863546E-6,4.021093E-6,-0.00863,extension
4.279569E-6,4.818218E-6,-0.00863,flexion
3.8862117E-6,1.0757013E-5,-0.04315,extension
5.0373346E-6,3.015692E-6,-0.04315,flexion
3.0033254E-6,9.504485E-6,-0.04315,flexion
2.9018497E-6,6.731755E-6,-0.07767,extension
3.889538E-6,2.923758E-6,-0.07767,flexion
6.221097E-6,1.1449264E-6,-0.07767,flexion
2.1491176E-6,3.4222141E-6,-0.07767,flexion
5.108608E-6,3.6208048E-6,-0.07767,flexion
1.207231E-5,8.239307E-6,-0.04315,flexion
7.013976E-8,2.6432936E-6,-0,flexion
2.8071108E-7,3.3368677E-5,-0,flexion
7.2321664E-6,6.2297644E-8,0.06904,flexion
1.3761755E-6,2.0765023E-5,0.10356,flexion
9.002764E-6,1.94835E-6,0.13808,flexion
6.8505615E-6,4.91485E-6,0.20712,flexion
1.0264819E-6,4.380811E-6,0.24164,flexion
5.186165E-7,4.424295E-6,0.24164,flexion
2.5295806E-6,2.779275E-6,0.24164,flexion
7.601229E-6,4.331951E-6,0.19849,extension
6.215451E-6,6.483254E-6,0.12945,extension
6.282145E-7,6.7716082E-6,0.06041,extension
1.14845876E-4,9.146857E-6,0.01726,extension
3.9005326E-6,3.9721026E-6,-0.01726,extension
3.7322938E-5,1.8123361E-6,-0.01726,flexion
1.7073339E-7,3.4943223E-6,-0.01726,flexion
1.0226619E-5,1.0640969E-7,-0.05178,extension
2.6730931E-6,3.433758E-6,-0.0863,extension
3.7512627E-6,5.437618E-6,-0.12082,extension
3.7526731E-6,2.8058164E-6,-0.15534,extension
1.6926538E-6,8.7930075E-6,-0.15534,flexion
3.6544313E-6,3.2755513E-6,-0.18986,extension
2.5893478E-6,1.1108992E-6,-0.18986,flexion
1.4235872E-5,6.354755E-5,-0.18986,flexion
8.3962516E-7,2.3136186E-5,-0.18986,flexion
7.5648827E-6,2.8211096E-5,-0.18986,flexion
1.0268494E-5,5.832334E-6,-0.15534,flexion
1.3042687E-7,4.1799603E-6,-0.15534,flexion
2.1855926E-6,1.2484126E-7,-0.12082,flexion
1.2424976E-8,1.1728338E-6,-0.12082,flexion
5.4657767E-6,1.6612819E-6,-0.12082,flexion
8.033721E-6,3.7821646E-6,-0.0863,flexion
4.1724893E-6,8.6277555E-7,-0.05178,flexion
3.377146E-6,2.1539775E-7,0.01726,flexion
3.825487E-5,4.568703E-7,0.0863,flexion
2.9149243E-7,1.8353529E-6,0.1726,flexion
9.186057E-6,5.190919E-6,0.20712,flexion
7.240007E-6,3.5071423E-6,0.24164,flexion
8.339952E-6,2.8240281E-6,0.24164,flexion
3.6333442E-6,1.1755889E-6,0.24164,flexion
3.5477815E-6,4.5087377E-6,0.20712,extension
1.4924625E-6,1.9075786E-7,0.1726,extension
2.3166735E-6,6.1533697E-6,0.12945,extension
4.9434284E-6,2.8589416E-6,0.09493,extension
2.2694305E-6,3.8968046E-6,0.05178,extension
4.220147E-6,7.367539E-7,-0.01726,extension
7.358971E-6,2.770036E-6,-0.09493,extension
4.7924136E-6,1.31427205E-5,-0.16397,extension
8.352605E-6,1.3047747E-6,-0.16397,flexion
1.3348635E-5,4.064853E-6,-0.20712,extension
1.234045E-5,1.7356292E-7,-0.24164,extension
2.7771255E-6,3.990145E-7,-0.24164,flexion
3.0970436E-6,5.1827606E-6,-0.24164,flexion
1.4983909E-5,3.5290702E-6,-0.24164,flexion
3.4090994E-5,6.342199E-6,-0.24164,flexion
1.3981293E-5,3.631111E-8,-0.24164,flexion
4.322236E-5,1.8385739E-6,-0.19849,flexion
1.0283934E-5,1.3736892E-6,-0.12945,flexion
8.598989E-6,8.297444E-6,-0.12945,flexion
8.047205E-6,1.2406379E-6,-0.12945,flexion
1.7377171E-6,8.6457976E-7,-0.06041,flexion
2.2596464E-6,1.1469024E-5,0.00863,flexion
5.2309074E-6,7.516735E-6,0.04315,flexion
3.4061916E-6,4.844655E-6,0.0863,flexion
7.769256E-6,1.5220365E-6,0.12082,flexion
7.897709E-6,5.041812E-6,0.14671,flexion
1.4515217E-6,9.386749E-7,0.18986,flexion
4.063519E-6,1.2079675E-5,0.18986,flexion
4.1702096E-6,1.4824525E-5,0.18986,flexion
4.383232E-6,2.4308133E-6,0.18986,flexion
2.084424E-6,4.991058E-6,0.14671,extension
5.2967753E-6,2.372291E-6,0.12082,extension
7.50028E-6,1.3672289E-5,0.12082,flexion
9.2232284E-7,4.9342825E-6,0.05178,extension
5.3810018E-6,8.55465E-6,0.00863,extension
5.713837E-6,8.459607E-6,-0.02589,extension
1.9121135E-5,1.229081E-6,-0.06041,extension
9.767041E-6,3.7620105E-6,-0.09493,extension
5.3393182E-6,6.744381E-6,-0.13808,extension
4.144244E-6,8.266974E-6,-0.13808,flexion
6.0300886E-6,6.0137663E-6,-0.1726,extension
5.741043E-6,1.0268067E-5,-0.1726,flexion
3.8515162E-7,1.6489696E-6,-0.20712,extension
1.975907E-6,2.3016257E-7,-0.20712,flexion
2.89825E-6,1.0249542E-5,-0.20712,flexion
2.1426292E-6,2.9752484E-6,-0.20712,flexion
6.791321E-6,5.593364E-6,-0.20712,flexion
3.971096E-6,7.9503775E-7,-0.20712,flexion
1.0129844E-5,3.4445975E-6,-0.13808,flexion
7.5555795E-6,1.0451532E-5,-0.10356,flexion
1.9121535E-6,2.559947E-6,-0.10356,flexion
7.110535E-6,1.6159124E-6,-0.10356,flexion
5.279624E-6,3.0721478E-6,-0.06041,flexion
6.5273475E-6,4.8972324E-6,-0.06041,flexion
3.6807844E-6,6.797683E-6,0.00863,flexion
4.6542E-6,1.887182E-6,0.04315,flexion
4.7477283E-6,1.146721E-6,0.07767,flexion
4.3066393E-5,6.354061E-6,0.07767,flexion
4.00202E-6,2.266079E-6,0.12082,flexion
4.692917E-6,1.9116338E-7,0.13808,flexion
1.24788E-6,1.4593945E-6,0.12945,extension
3.3139397E-6,2.2431766E-6,0.12945,flexion
6.7452465E-6,3.142182E-6,0.09493,extension
3.1368902E-6,1.4790221E-5,0.05178,extension
1.444277E-6,5.076336E-6,0.05178,flexion
6.2718523E-6,4.806532E-6,0.01726,extension
7.867576E-6,4.7953847E-7,-0.05178,extension
6.217643E-6,1.7257915E-5,-0.09493,extension
2.4208678E-6,7.921707E-6,-0.12945,extension
6.3052744E-6,3.2092282E-6,-0.16397,extension
2.4325682E-6,5.5401943E-6,-0.19849,extension
4.680197E-6,5.085729E-6,-0.19849,flexion
7.3091983E-6,8.7762567E-7,-0.23301,extension
5.230339E-6,1.7387807E-6,-0.23301,flexion
3.956944E-6,3.5488745E-6,-0.23301,flexion
1.8440314E-5,2.7184763E-6,-0.23301,flexion
4.931269E-6,2.860066E-6,-0.23301,flexion
3.915009E-6,5.3759495E-6,-0.18986,flexion
8.2705554E-7,4.9137025E-6,-0.15534,flexion
2.0651755E-6,3.5902638E-6,-0.11219,flexion
3.861943E-8,6.805972E-6,-0.06904,flexion
8.717253E-6,1.4122778E-5,-0.03452,flexion
3.897531E-6,8.562711E-7,-0.03452,flexion
2.9638115E-6,3.2009118E-6,-0,flexion
6.0649822E-6,2.9891114E-6,0.04315,flexion
3.0651106E-6,3.752434E-6,0.0863,flexion
2.2662582E-6,1.3771827E-6,0.12082,flexion
5.784954E-7,9.450846E-6,0.13808,flexion
2.6857108E-6,3.3277962E-7,0.12945,extension
3.1301906E-6,2.7252063E-6,0.12945,flexion
5.8356927E-6,6.050967E-6,0.09493,extension
6.558325E-6,1.0075674E-5,0.05178,extension
7.739412E-7,4.6698806E-6,-0.01726,extension
1.1049129E-5,8.667465E-7,-0.01726,flexion
3.66249E-6,4.388719E-6,-0.05178,extension
8.426554E-6,4.0204345E-6,-0.05178,flexion
1.1447023E-5,2.4270362E-6,-0.0863,extension
6.8142035E-6,7.5047615E-6,-0.12945,extension
1.9191332E-6,2.1698272E-6,-0.1726,extension
1.202282E-6,3.598173E-6,-0.1726,flexion
3.2200828E-6,6.721317E-6,-0.20712,extension
7.637798E-6,4.348028E-6,-0.20712,flexion
4.8023953E-6,5.955972E-6,-0.20712,flexion
5.1515462E-6,6.8276363E-6,-0.16397,flexion
1.7262854E-6,1.4175223E-6,-0.12082,flexion
4.8532815E-8,9.354632E-6,-0.12082,flexion
5.252186E-6,7.393264E-6,-0.0863,flexion
2.7559718E-6,1.2356663E-5,-0.01726,flexion
2.445505E-6,6.814457E-6,0.05178,flexion
7.18048E-6,1.9499857E-6,0.12082,flexion
9.364933E-6,1.16537685E-5,0.13808,flexion
5.685622E-6,3.4246634E-6,0.13808,flexion
1.8144232E-6,3.6120905E-6,0.13808,flexion
7.714428E-6,5.935023E-6,0.13808,flexion
2.237618E-6,7.831818E-6,0.0863,extension
6.044724E-6,3.8131475E-6,0.05178,extension
9.187204E-7,3.7136967E-6,-0.02589,extension
1.1905594E-5,3.6856095E-6,-0.06904,extension
1.3576304E-5,1.88128E-6,-0.11219,extension
4.3997952E-7,1.53458E-6,-0.11219,flexion
8.5393765E-7,1.8797546E-6,-0.18123,extension
6.8865365E-6,2.78915E-6,-0.18123,flexion
7.9080855E-6,5.9484853E-7,-0.18123,flexion
3.1498953E-7,6.716086E-6,-0.18123,flexion
2.712838E-6,4.8371894E-6,-0.14671,flexion
4.5961447E-6,1.5972361E-6,-0.11219,flexion
2.12811E-6,9.09071E-6,-0.11219,flexion
2.374177E-6,1.6394259E-6,-0.11219,flexion
3.4456974E-7,1.637307E-6,-0.07767,flexion
2.9953017E-6,6.6753555E-6,-0.07767,flexion
8.482459E-6,1.7436969E-5,-0,flexion
4.2689576E-6,7.2876986E-7,0.06904,flexion
4.0848004E-6,3.751257E-6,0.13808,flexion
