EMGSignal1,EMGSignal2,CyberGloveData,Movement
4.3667783E-6,1.2756391E-5,-0.02589,extension
5.372855E-6,2.4119697E-6,-0.02589,flexion
1.3039451E-5,1.9808588E-6,-0.02589,flexion
3.1936734E-6,8.496549E-6,-0.02589,flexion
2.905094E-6,1.1030149E-6,-0.02589,flexion
1.3328139E-6,4.1154835E-6,-0.02589,flexion
3.2314201E-6,1.242105E-5,-0.02589,flexion
7.03774E-7,7.213503E-6,-0.02589,flexion
8.441617E-6,4.4628937E-6,-0.02589,flexion
2.7896208E-6,1.5246973E-6,-0.02589,flexion
5.74934E-6,7.574452E-7,-0.02589,flexion
3.9321044E-6,5.810175E-8,-0.02589,flexion
1.2136519E-7,7.134727E-6,-0.02589,flexion
1.190443E-6,3.67562E-6,-0.02589,flexion
5.294277E-6,5.3735857E-6,-0.02589,flexion
6.7219785E-6,5.711668E-7,-0.02589,flexion
6.952777E-6,1.2368706E-5,-0.02589,flexion
7.2382176E-7,1.3291629E-5,-0.06041,extension
7.0473484E-6,4.9782716E-6,-0.27616,extension
3.1558975E-6,6.6312373E-6,-0.31931,extension
1.7720865E-6,2.563381E-6,-0.31931,flexion
2.4140683E-5,7.4430936E-6,-0.24164,flexion
2.8769072E-4,8.9200785E-6,-0.02589,flexion
6.7177796E-5,5.9647145E-6,-0.09493,extension
1.0231764E-4,2.8618813E-6,-0.09493,flexion
3.952133E-6,1.7501106E-5,-0.02589,flexion
2.5470214E-5,1.7197859E-5,-0.02589,flexion
1.6584117E-5,5.6160898E-5,-0.02589,flexion
1.8271697E-6,2.2705188E-5,-0.02589,flexion
8.56981E-6,1.2000726E-5,-0.09493,extension
1.811721E-5,3.005218E-5,-0.09493,flexion
1.7832882E-6,7.3524E-5,-0.23301,extension
3.52694E-5,6.296661E-6,-0.26753,extension
3.0678188E-5,1.0390459E-5,-0.30205,extension
1.8168706E-5,5.6372573E-6,-0.19849,flexion
1.8905227E-4,4.9132595E-6,-0.05178,flexion
1.6885102E-5,3.8008359E-6,-0.0863,extension
