EMGSignal1,EMGSignal2,CyberGloveData,Movement
7.5041416E-6,8.142356E-7,0.01726,flexion
4.8155453E-6,4.7301182E-6,0.01726,flexion
3.5531054E-6,9.884996E-7,0.01726,flexion
1.6064532E-6,2.8542336E-6,0.01726,flexion
1.5232246E-6,5.3001845E-6,0.01726,flexion
5.082871E-6,1.0138656E-6,0.01726,flexion
2.4036012E-6,3.9336996E-6,0.01726,flexion
4.0654236E-6,1.892144E-6,0.01726,flexion
1.2040552E-7,5.178822E-7,0.01726,flexion
1.6938224E-6,8.889909E-6,0.01726,flexion
2.2554243E-6,3.420003E-6,0.01726,flexion
5.709815E-8,1.0734009E-6,0.01726,flexion
2.4563431E-5,1.0607547E-6,0.01726,flexion
2.1506835E-6,5.328071E-6,0.01726,flexion
5.7691267E-7,4.5726956E-6,0.01726,flexion
1.6450003E-6,1.1043505E-7,0.01726,flexion
1.650953E-6,2.2426239E-6,0.01726,flexion
1.3501266E-6,7.0450046E-6,0.05178,flexion
4.6346004E-6,2.8005009E-6,0.05178,flexion
4.2683487E-6,2.5760033E-7,0.12082,flexion
3.0481424E-6,9.63166E-7,0.18123,flexion
3.5386522E-6,3.137525E-5,0.28479,flexion
3.144396E-6,9.731945E-6,0.39698,flexion
3.6260226E-6,4.8389247E-5,0.4315,flexion
3.695745E-6,1.2234158E-5,0.47465,flexion
1.0065739E-5,6.7199667E-6,0.47465,flexion
3.3254135E-5,6.320336E-6,0.47465,flexion
6.4724256E-5,3.5405105E-6,0.39698,extension
7.94387E-5,5.750781E-6,0.29342,extension
5.1261624E-5,8.611521E-6,0.14671,extension
6.9799344E-6,3.4924733E-6,0.06041,extension
2.2815714E-4,7.6271804E-6,-0.00863,extension
3.3148506E-4,7.575791E-7,-0.04315,extension
3.237822E-4,1.8567538E-5,-0.12082,extension
2.247035E-4,2.455419E-6,-0.28479,extension
5.562992E-5,5.3183157E-6,-0.35383,extension
2.3534584E-4,1.2083448E-5,-0.42287,extension
4.000346E-6,1.3228393E-5,-0.49191,extension
3.1396165E-5,1.5740849E-5,-0.49191,flexion
5.0668255E-5,4.280041E-6,-0.52643,extension
3.2886557E-5,6.0889447E-6,-0.52643,flexion
8.6195556E-5,3.690857E-6,-0.52643,flexion
1.2948331E-5,2.7881315E-6,-0.52643,flexion
9.426969E-7,2.8647705E-6,-0.52643,flexion
6.1537426E-6,8.300085E-6,-0.56095,extension
7.895612E-6,1.7776285E-5,-0.56095,flexion
6.190307E-6,7.787355E-6,-0.49191,flexion
1.6688389E-6,9.7109136E-5,-0.41424,flexion
7.0341134E-6,2.7309114E-5,-0.31068,flexion
9.588786E-6,2.1978329E-5,-0.20712,flexion
9.426274E-5,2.139874E-6,-0.10356,flexion
6.5993695E-6,2.0976672E-6,-0.06041,flexion
1.2822611E-5,9.734638E-6,0.00863,flexion
3.4989523E-7,1.45894655E-5,0.18123,flexion
4.0370196E-6,8.021658E-7,0.31068,flexion
3.0935666E-4,7.39269E-7,0.45739,flexion
1.04757106E-4,1.476722E-6,0.56095,flexion
2.7568845E-5,2.5489728E-6,0.66451,flexion
3.907594E-5,1.163299E-6,0.73355,flexion
1.2538898E-4,3.7964949E-6,0.76807,flexion
2.461422E-5,5.6612157E-7,0.73355,extension
4.0392177E-5,2.86628E-6,0.44013,extension
1.6197354E-6,9.4718024E-7,0.27616,extension
4.837138E-5,1.181969E-6,0.12945,extension
