EMGSignal1,EMGSignal2,CyberGloveData,Movement
3.169293E-7,8.9338744E-7,0.09493,flexion
1.0005378E-5,3.5124795E-6,0.09493,flexion
6.9798293E-6,3.5685916E-6,0.09493,flexion
5.3452236E-6,4.9592944E-7,0.09493,flexion
2.4737378E-6,1.4785464E-6,0.09493,flexion
4.9871514E-6,1.6446126E-6,0.09493,flexion
1.309102E-6,5.8418095E-6,0.09493,flexion
6.1357828E-6,1.0661314E-6,0.09493,flexion
7.1616946E-6,4.0641078E-7,0.09493,flexion
8.28676E-6,3.5424716E-6,0.09493,flexion
2.269341E-6,3.8058647E-6,0.09493,flexion
1.1728879E-6,1.1893545E-6,0.09493,flexion
1.2096636E-5,2.0467332E-6,0.09493,flexion
3.4488276E-6,1.2742407E-5,0.3452,flexion
6.5075988E-6,4.217441E-5,1.01834,flexion
1.04419574E-4,7.62804E-6,0.35383,extension
2.199804E-4,1.4440212E-5,-0.44013,extension
7.5231974E-6,3.3206834E-6,-0.29342,flexion
9.912906E-6,1.0496842E-4,0.14671,flexion
1.6394093E-5,4.73786E-6,0.84574,flexion
6.753091E-5,5.612311E-6,1.0356,flexion
9.073061E-6,4.468213E-5,0.04315,extension
5.237694E-6,8.0121914E-5,-0.36246,extension
2.2799795E-5,2.232442E-7,-0.2589,flexion
3.7736218E-6,5.0488015E-6,0.14671,flexion
4.294906E-6,5.376445E-5,1.06149,flexion
9.895718E-6,2.6078485E-6,0.05178,extension
4.2201886E-5,7.0671454E-6,-0.39698,extension
1.7756469E-6,5.6383666E-5,-0.07767,flexion
8.351148E-6,2.8142498E-5,0.59547,flexion
8.308549E-5,1.2470214E-5,1.08738,flexion
2.1572027E-6,4.88806E-6,0.06904,extension
5.704178E-7,3.7041424E-5,-0.3452,extension
2.5008198E-6,8.844328E-7,-0.18986,flexion
2.4868976E-5,3.056268E-6,0.27616,flexion
5.9300523E-6,5.1964953E-6,0.99245,flexion
1.1642596E-6,4.262221E-5,0.1726,extension
3.5533372E-5,8.199051E-6,-0.3452,extension
8.862511E-6,1.4378976E-6,-0.24164,flexion
1.0414505E-5,1.2571389E-5,0.24164,flexion
1.5201308E-6,5.384688E-6,0.56095,flexion
6.071782E-6,4.270418E-6,-0,extension
3.6629262E-6,3.244822E-5,-0.31068,extension
1.6077157E-8,3.9016336E-6,-0.14671,flexion
9.71589E-6,2.714609E-6,0.35383,flexion
5.3436243E-6,8.3323785E-6,0.76807,flexion
6.013956E-6,7.212133E-5,0.15534,extension
1.5892843E-5,1.1688634E-6,-0.31068,extension
3.7420316E-6,1.2891684E-5,-0.16397,flexion
2.6500907E-6,4.2331514E-5,0.36246,flexion
1.174723E-5,1.3180473E-5,0.62136,flexion
2.587967E-6,4.0916266E-6,-0.03452,extension
6.530216E-6,3.52587E-5,-0.27616,extension
8.968571E-5,3.8765493E-6,0.06904,flexion
3.2387713E-6,7.966158E-5,0.61273,flexion
4.6589124E-5,7.4639374E-6,0.18986,extension
1.6181148E-5,5.677662E-5,-0.13808,extension
2.2036184E-4,4.641338E-6,-0.13808,flexion
8.456549E-6,3.0291037E-4,0.41424,flexion
4.667686E-5,9.644969E-6,0.79396,flexion
4.4632134E-6,2.5522384E-5,0.19849,extension
1.7213906E-4,6.912533E-6,-0.18123,extension
2.275501E-6,9.912101E-5,-0.28479,extension
3.6739806E-5,1.5826397E-5,0.12945,flexion
3.052292E-6,4.5018725E-5,0.6041,flexion
7.68473E-5,8.7691E-6,0.50917,extension
8.28425E-6,1.7085238E-4,-0.04315,extension
2.764417E-4,5.168206E-6,-0.3452,extension
3.2501648E-6,2.3524158E-6,-0.07767,flexion
7.5463366E-5,4.12726E-6,0.59547,flexion
1.0884935E-6,8.000249E-6,-0.15534,extension
3.4886183E-5,3.399213E-6,-0.26753,extension
1.6883701E-5,3.2283606E-6,0.58684,flexion
2.5029842E-6,2.6006626E-5,-0.12945,extension
5.1798772E-5,6.4081005E-6,-0.26753,extension
4.4789135E-6,3.9215927E-5,0.47465,flexion
4.937767E-6,1.9015435E-5,0.04315,extension
1.5408075E-5,6.3914905E-7,-0.37972,extension
1.21787125E-5,3.1830934E-6,0.48328,flexion
1.006054E-5,1.0523604E-5,-0.12945,extension
7.756374E-6,1.3452534E-5,-0.28479,extension
3.7405282E-6,1.1395749E-5,0.44013,flexion
3.7407665E-6,1.7651395E-5,-0.38835,extension
2.5145917E-7,9.835767E-6,-0.21575,flexion
6.8388516E-7,3.0588228E-5,0.56958,flexion
2.0128735E-5,4.224804E-6,-0.37109,extension
2.339289E-5,2.893352E-6,-0.20712,flexion
3.31521E-5,3.2262233E-6,0.31931,flexion
1.1133227E-5,5.189566E-6,-0.4315,extension
4.2970887E-6,8.584242E-6,0.01726,flexion
5.9811236E-7,4.7711685E-5,0.2589,flexion
2.4467563E-6,7.294712E-6,-0.44876,extension
1.3503178E-5,9.308876E-7,0.39698,flexion
3.6306444E-6,2.862763E-6,0.10356,extension
6.639708E-7,1.0398226E-6,-0.47465,extension
7.808574E-6,8.962852E-7,0.38835,flexion
3.901277E-6,3.940443E-6,0.15534,extension
3.872445E-6,2.8591955E-6,-0.44876,extension
9.883023E-6,2.1014974E-5,0.18986,flexion
