EMGSignal1,EMGSignal2,CyberGloveData,Movement
2.2418665E-6,4.741307E-6,0.36246,flexion
5.178022E-6,8.432209E-6,0.53506,flexion
2.1047936E-6,9.265125E-8,0.53506,flexion
8.872831E-6,2.6680432E-6,0.26753,extension
1.7269084E-6,4.9983944E-5,0.11219,extension
3.012359E-5,9.289055E-5,0.02589,extension
1.2746686E-5,5.7398374E-5,-0.29342,extension
7.339376E-5,9.277506E-6,-0.36246,extension
1.6830987E-5,1.0347923E-5,-0.37109,extension
1.18632E-5,7.659686E-6,-0.15534,flexion
1.32338455E-5,3.081208E-5,0.06041,flexion
4.6476015E-7,1.39020985E-5,0.47465,flexion
1.8492592E-5,8.69138E-5,0.47465,flexion
4.9142495E-6,2.9884377E-5,0.47465,flexion
2.1818209E-5,2.122709E-5,0.30205,extension
3.203324E-5,6.8992936E-6,0.05178,extension
8.144347E-5,7.261091E-6,-0.06041,extension
3.521839E-5,1.0209892E-5,-0.33657,extension
1.5903915E-5,3.0788226E-5,-0.37972,extension
2.3199489E-5,6.49882E-5,-0.01726,flexion
1.103844E-5,5.9896156E-6,0.31931,flexion
1.0588884E-5,5.801894E-5,0.68177,flexion
2.4551846E-5,3.1064505E-6,0.68177,flexion
6.686925E-5,5.796361E-7,0.62999,extension
1.4539006E-4,8.1753315E-6,0.02589,extension
1.9954603E-4,1.8063503E-6,-0.28479,extension
3.1978186E-6,4.0897132E-5,-0.39698,extension
1.0512173E-5,3.6357447E-5,-0.46602,extension
9.872867E-6,4.180188E-5,-0.46602,flexion
3.8407976E-5,5.0899383E-5,-0.46602,flexion
5.2866826E-6,2.1127376E-5,-0.39698,flexion
9.46405E-6,1.3332384E-5,-0.06041,flexion
1.5271797E-5,5.776332E-6,0.12945,flexion
1.2252424E-5,1.4097475E-5,0.64725,flexion
5.9630605E-5,8.065987E-6,0.68177,flexion
2.1669535E-4,3.275335E-8,0.57821,extension
1.9383969E-4,3.9500787E-6,0.25027,extension
1.1026725E-6,2.369768E-5,0.04315,extension
7.716287E-6,6.485718E-6,-0.10356,extension
1.8214427E-5,6.186E-5,-0.31068,extension
2.656301E-5,1.21126315E-4,-0.42287,extension
1.1418495E-5,1.9654616E-4,-0.45739,extension
2.451011E-5,2.382377E-4,-0.45739,flexion
7.762379E-6,2.5985378E-6,-0.45739,flexion
4.393803E-5,6.793192E-6,-0.45739,flexion
4.4482586E-5,1.3879739E-5,-0.06904,flexion
1.033135E-4,2.0671437E-6,0.39698,flexion
2.4148632E-5,1.567238E-6,0.75081,flexion
5.7832503E-6,2.5839263E-6,0.64725,extension
7.7305285E-6,8.605123E-6,0.56958,extension
6.857679E-6,1.7562616E-5,0.19849,extension
2.3182567E-5,1.4840139E-4,0.02589,extension
6.4056826E-7,2.4039102E-5,-0.27616,extension
1.2232789E-6,3.8382546E-5,-0.39698,extension
2.2897575E-5,3.645975E-5,-0.46602,extension
9.119765E-5,1.7713648E-5,-0.46602,flexion
