EMGSignal1,EMGSignal2,CyberGloveData,Movement
3.7036268E-6,7.6985674E-7,-0,flexion
2.8044513E-5,5.036362E-6,-0,flexion
9.623654E-6,1.1003399E-6,-0,flexion
6.941056E-6,1.9745378E-6,-0,flexion
6.557059E-6,1.2692805E-6,-0,flexion
1.6103557E-5,3.111933E-6,-0,flexion
5.747736E-6,2.2079023E-6,-0,flexion
7.888289E-6,2.0775371E-6,-0,flexion
2.3251612E-5,5.296587E-6,-0,flexion
3.2120538E-6,4.706893E-6,-0,flexion
5.908964E-6,1.4171358E-6,-0,flexion
2.78174E-5,4.8594865E-7,-0,flexion
1.0437756E-5,2.381109E-6,-0,flexion
4.197987E-5,2.0116386E-6,-0,flexion
1.336883E-5,9.079231E-6,-0,flexion
2.4553717E-6,5.817814E-6,-0,flexion
1.1400169E-5,8.2346405E-6,-0,flexion
1.2022458E-6,1.1731862E-6,-0.03452,extension
7.341825E-6,1.7740272E-6,-0.03452,flexion
1.5250381E-5,2.0051948E-5,-0,flexion
2.2839933E-5,2.5679615E-6,0.13808,flexion
5.973264E-8,8.075124E-6,0.35383,flexion
1.8804329E-5,3.4551133E-5,0.53506,flexion
8.59454E-6,4.0002465E-6,0.72492,flexion
3.2402556E-6,6.1222527E-6,0.90615,flexion
4.313887E-6,1.2723558E-5,0.94067,flexion
2.4459846E-6,3.6932048E-5,0.87163,extension
5.1150932E-6,2.3274162E-5,0.36246,extension
1.1611653E-5,4.210443E-6,0.29342,extension
2.0795469E-5,2.6364737E-6,0.29342,flexion
1.0824536E-5,1.0365649E-5,0.29342,flexion
1.7173734E-5,1.7156018E-6,0.21575,extension
5.1543804E-5,1.8160357E-5,0.12945,extension
2.6682766E-5,1.0711324E-5,0.06041,extension
5.791516E-6,7.147647E-6,0.06041,flexion
3.7479523E-4,8.72788E-7,0.06041,flexion
8.3215564E-5,1.3157806E-5,0.06041,flexion
5.246897E-5,6.2769745E-6,0.06041,flexion
2.7974822E-5,1.9802348E-4,0.01726,extension
9.889864E-6,2.1679989E-5,-0.12945,extension
1.9852245E-5,1.9287887E-5,-0.23301,extension
3.090045E-5,7.352342E-6,-0.23301,flexion
2.2253396E-6,1.1047228E-5,-0.06041,flexion
1.7772834E-5,4.8434677E-6,0.24164,flexion
6.4612235E-5,1.1089262E-5,0.24164,flexion
1.8552635E-6,6.8494105E-6,0.19849,extension
4.7907077E-5,6.646789E-5,0.12945,extension
5.0456492E-5,4.770537E-6,0.06041,extension
8.360405E-6,3.5991238E-6,0.06041,flexion
2.0651221E-5,1.6453723E-5,0.02589,extension
1.447135E-5,2.2075335E-5,0.02589,flexion
9.29748E-7,3.963681E-6,0.02589,flexion
9.704649E-5,5.8568672E-5,-0.10356,extension
1.6590946E-4,3.0545863E-5,-0.10356,flexion
7.973935E-6,3.981305E-5,-0.10356,flexion
