EMGSignal1,EMGSignal2,CyberGloveData,Movement
4.3442906E-8,7.762769E-6,-0.06904,extension
6.7298706E-6,6.140288E-6,-0.06904,flexion
1.5405818E-6,2.6523496E-6,-0.06904,flexion
3.9170395E-6,1.6292777E-6,-0.06904,flexion
4.6864084E-6,5.4739085E-6,-0.06904,flexion
9.181748E-6,7.0944066E-7,-0.06904,flexion
5.435332E-6,4.11018E-6,-0.06904,flexion
4.8940437E-6,2.7248432E-6,-0.06904,flexion
6.982965E-6,5.909163E-6,-0.06904,flexion
2.356238E-6,3.799874E-8,-0.06904,flexion
6.074257E-6,7.9347376E-7,-0.06904,flexion
8.386246E-7,3.3445733E-6,-0.03452,flexion
1.9287334E-5,8.618351E-5,-0,flexion
8.504568E-7,1.1695209E-5,-0,flexion
1.5640037E-5,3.6619185E-5,0.03452,flexion
7.83283E-6,6.5264826E-6,0.03452,flexion
1.18340695E-5,1.9253033E-5,0.03452,flexion
1.7837774E-5,2.65637E-6,0.03452,flexion
2.2974244E-5,9.334223E-6,-0.04315,extension
8.588762E-6,5.6934928E-6,-0.14671,extension
7.6144233E-6,3.104474E-6,-0.18123,extension
7.633244E-6,9.018843E-6,-0.21575,extension
1.1509037E-6,2.6165822E-6,-0.21575,flexion
1.3246912E-5,8.271677E-6,-0.21575,flexion
4.184441E-7,4.329536E-5,-0.21575,flexion
2.082986E-6,4.0056652E-6,-0.21575,flexion
4.4881057E-7,1.0730232E-5,-0.11219,flexion
1.4181095E-5,1.5064739E-5,0.02589,flexion
6.22925E-6,2.06916E-5,0.02589,flexion
4.0130203E-6,1.3253365E-6,0.02589,flexion
8.333823E-6,1.4861774E-5,0.02589,flexion
7.515736E-8,2.666061E-6,0.02589,flexion
9.039244E-6,1.3432678E-5,-0.00863,extension
5.913296E-6,8.735332E-6,-0.04315,extension
9.765576E-6,8.720565E-8,-0.0863,extension
7.91804E-7,2.9294717E-6,-0.0863,flexion
5.545849E-7,2.1008566E-6,-0.0863,flexion
4.5111774E-6,5.1688176E-6,-0.05178,flexion
7.677342E-6,3.598905E-6,-0.05178,flexion
1.0760065E-5,1.2080445E-5,-0.05178,flexion
1.647525E-5,1.3342699E-5,-0.05178,flexion
1.3600008E-5,1.5582566E-5,-0.05178,flexion
8.706625E-6,1.4349405E-6,0.01726,flexion
2.386647E-5,4.5396995E-5,0.01726,flexion
1.8845438E-6,1.3096577E-6,0.01726,flexion
1.4894847E-5,5.3599665E-6,0.01726,flexion
8.7332855E-6,1.3366373E-5,-0.01726,extension
3.8338283E-5,8.264345E-6,-0.12945,extension
1.9102163E-5,1.3024677E-5,-0.19849,extension
5.836979E-6,3.747269E-6,-0.19849,flexion
6.4017195E-6,1.6781196E-6,-0.19849,flexion
1.2439416E-5,4.568407E-5,-0.12082,flexion
1.0044264E-5,1.97701E-5,-0.05178,flexion
5.160959E-6,1.9579456E-6,-0.01726,flexion
7.9716565E-6,4.0150085E-6,-0.01726,flexion
6.253158E-7,2.8905752E-6,-0.01726,flexion
5.3872293E-7,3.258799E-6,-0.05178,extension
5.142794E-6,4.1210146E-6,-0.12945,extension
2.2393244E-5,9.595867E-6,-0.19849,extension
3.9698903E-6,4.357912E-8,-0.19849,flexion
6.9320454E-6,1.3637975E-5,-0.19849,flexion
1.0343485E-5,1.8034061E-6,-0.19849,flexion
1.11214595E-5,1.1352811E-5,-0.16397,flexion
5.6032163E-6,1.606156E-5,-0.05178,flexion
1.7343955E-5,1.3153534E-6,0.01726,flexion
1.6183823E-5,2.5014904E-6,0.01726,flexion
6.9933853E-6,1.9301504E-5,0.01726,flexion
6.374234E-6,1.7029433E-6,0.01726,flexion
2.2538904E-6,4.5397655E-6,-0.16397,extension
4.250604E-6,9.643725E-7,-0.19849,extension
1.4056295E-5,3.3921283E-6,-0.19849,flexion
3.0845772E-6,9.693745E-6,-0.19849,flexion
5.943964E-6,1.4403452E-6,-0.16397,flexion
5.9565677E-6,4.2236966E-6,-0.02589,flexion
8.826006E-6,3.5996952E-6,-0.06041,extension
7.741515E-6,6.6669354E-6,-0.02589,flexion
3.3599897E-6,3.0685617E-6,-0.10356,extension
6.134764E-6,2.037574E-5,-0.13808,extension
2.6289172E-6,6.239624E-7,-0.03452,flexion
5.5146347E-6,1.2607969E-6,-0.02589,flexion
6.8888635E-6,3.1666197E-5,-0.12945,extension
5.046129E-6,5.665214E-6,-0.05178,flexion
1.0510887E-5,1.5144184E-5,0.01726,flexion
2.9556395E-6,1.4521189E-5,0.01726,flexion
8.831867E-6,6.474063E-7,-0.06041,extension
6.893378E-6,6.3241023E-6,-0.16397,extension
2.6719627E-7,1.02272825E-5,-0.16397,flexion
8.946226E-6,9.368323E-6,-0.09493,flexion
1.2599961E-6,2.7203681E-5,-0.02589,flexion
5.313052E-6,2.86084E-6,0.00863,flexion
3.2046162E-6,1.981832E-6,0.04315,flexion
2.3550194E-6,4.4371795E-6,0.04315,flexion
4.7269086E-6,4.4328294E-6,-0.02589,extension
6.6342755E-6,5.088872E-6,-0.12945,extension
1.520974E-5,9.742133E-7,-0.12945,flexion
1.8273007E-5,4.7398457E-6,0.00863,flexion
1.012461E-6,1.2899885E-6,-0.02589,extension
7.1894447E-6,4.05178E-5,-0.16397,extension
