EMGSignal1,EMGSignal2,CyberGloveData,Movement
6.3568928E-6,8.014468E-5,0.53506,flexion
9.79581E-6,4.0396557E-5,0.18986,extension
6.058131E-6,3.3341817E-5,-0.0863,extension
3.852906E-6,1.897537E-5,-0.31931,extension
2.2244089E-5,1.2640811E-5,-0.31931,flexion
1.7943292E-5,3.299103E-6,-0.21575,flexion
1.3108307E-5,1.3743645E-5,-0,flexion
8.181566E-6,4.6969413E-5,0.30205,flexion
1.4951387E-6,3.238827E-5,0.37972,flexion
4.7138803E-7,2.2017774E-5,0.3452,extension
5.949939E-6,1.1188562E-5,0.23301,extension
1.4541852E-6,1.0152912E-5,-0.03452,extension
1.3931068E-5,1.5550524E-5,-0.28479,extension
2.2822521E-6,6.672106E-6,-0.28479,flexion
3.5646685E-6,6.285212E-6,-0.18123,flexion
1.1601379E-6,1.8045652E-6,0.13808,flexion
1.4185521E-6,1.5011061E-5,0.44876,flexion
2.679782E-6,4.148683E-6,0.44876,flexion
7.590666E-6,3.0045552E-5,0.37972,extension
4.115275E-5,1.7970127E-5,0.3452,extension
1.6988575E-5,7.4401264E-6,0.13808,extension
8.0876356E-7,3.9207757E-6,-0.10356,extension
4.2302945E-6,1.7128643E-7,-0.25027,extension
2.189684E-6,5.5600634E-5,-0.28479,extension
1.4437239E-6,2.0532687E-5,-0.31931,extension
5.1332977E-6,2.389567E-5,-0.31931,flexion
3.7618943E-6,8.569903E-6,-0.1726,flexion
1.1060949E-5,2.5085326E-5,0.23301,flexion
1.7211152E-5,7.395111E-6,0.5178,flexion
9.0665435E-6,6.459532E-6,0.81985,flexion
1.09737075E-5,9.78685E-6,0.94067,flexion
6.4477886E-6,3.686332E-5,0.74218,extension
5.188777E-7,1.1579492E-5,0.12945,extension
5.5080213E-6,9.228123E-6,-0.1726,extension
6.188074E-6,6.337214E-6,-0.29342,extension
4.5605593E-6,4.7344142E-6,-0.29342,flexion
1.13991584E-4,2.5780275E-6,-0.29342,flexion
2.7656593E-5,4.785376E-6,-0.14671,flexion
5.4562324E-6,1.8664836E-6,0.21575,flexion
8.047079E-6,4.59967E-5,0.87163,flexion
5.988426E-6,1.9452333E-5,1.06149,flexion
3.1690195E-6,1.8185341E-5,0.94067,extension
4.6478135E-6,1.0840963E-5,0.3452,extension
2.1015665E-5,4.5239904E-6,-0.06904,extension
9.864583E-6,9.362932E-5,-0.32794,extension
6.940352E-6,5.8587807E-6,-0.32794,flexion
1.5484471E-5,2.9300585E-5,-0.32794,flexion
6.214872E-6,1.2272122E-4,-0.29342,flexion
8.216757E-6,5.2537518E-5,-0.22438,flexion
4.1225485E-6,8.993589E-6,-0.04315,flexion
6.749869E-5,1.5231307E-5,0.18123,flexion
1.5576928E-5,1.2668087E-4,0.40561,flexion
1.4051517E-5,2.598941E-5,0.66451,flexion
7.1152265E-8,6.775842E-6,0.14671,extension
1.2110669E-5,1.2274719E-5,-0.24164,extension
6.7141247E-7,1.7469445E-5,-0.27616,extension
2.8794436E-6,9.0414505E-6,0.0863,flexion
3.6765283E-5,2.0824174E-5,0.78533,flexion
2.2343786E-6,2.675484E-5,0.68177,extension
1.1379071E-5,2.2283515E-5,0.06904,extension
1.542376E-5,1.0648456E-5,-0.31068,extension
4.115387E-6,1.4468202E-5,-0.11219,flexion
3.829408E-6,9.728538E-5,0.48328,flexion
8.734122E-6,4.0189654E-5,0.67314,flexion
4.7385165E-5,1.0370946E-6,0.14671,extension
4.0024246E-5,2.3920373E-5,-0.2589,extension
1.0089761E-5,3.1860305E-5,0.04315,flexion
1.556657E-5,8.857374E-5,0.57821,flexion
1.2903462E-5,9.587551E-6,0.41424,extension
7.629459E-6,1.9506859E-5,0.00863,extension
6.0637612E-6,1.8810127E-6,-0.27616,extension
1.0469072E-5,1.260973E-5,-0.13808,flexion
1.4303334E-5,3.494023E-5,0.33657,flexion
4.0828795E-6,1.13621354E-4,0.45739,flexion
3.9480378E-7,1.8848898E-7,0.23301,extension
7.10997E-5,3.646728E-5,-0.22438,extension
9.637646E-6,4.9698177E-5,-0.24164,extension
3.1489282E-5,2.3067023E-5,0.0863,flexion
2.0464153E-5,3.6608068E-5,0.29342,flexion
7.755016E-6,5.5537348E-5,0.11219,extension
1.5350078E-4,4.758597E-5,-0.25027,extension
1.0187455E-5,1.9695932E-5,-0.29342,extension
4.157204E-6,7.095742E-6,0.03452,flexion
9.175699E-6,1.8114832E-5,0.57821,flexion
1.8154931E-5,1.9473111E-5,0.61273,flexion
6.610684E-5,1.1746025E-5,0.1726,extension
1.5441343E-5,2.5618183E-6,-0.25027,extension
9.446664E-6,1.2558279E-5,-0.25027,flexion
1.3293755E-5,4.1744192E-6,-0.04315,flexion
1.2204917E-5,1.2284217E-5,0.56095,flexion
6.454614E-6,1.0154693E-5,0.47465,extension
1.0290172E-5,1.98742E-6,-0.09493,extension
1.580707E-5,7.495604E-5,-0.26753,extension
1.2284942E-5,6.416548E-5,-0.0863,flexion
6.75598E-6,1.4257385E-5,0.61273,flexion
5.1092247E-6,8.2420294E-5,0.56958,extension
1.3837466E-6,3.3615484E-5,-0.26753,extension
6.235114E-5,2.2156215E-5,-0.10356,flexion
1.6460428E-5,1.9196557E-6,0.37109,flexion
1.5764395E-5,2.2415811E-6,0.90615,flexion
1.8047516E-5,4.442449E-6,0.00863,extension
7.088507E-6,6.3048324E-6,-0.10356,extension
9.480052E-6,2.6001404E-5,0.33657,flexion
3.4775742E-6,2.7342783E-5,0.53506,flexion
5.8242213E-6,5.9610356E-5,-0.19849,extension
2.0708316E-5,3.833359E-5,0.00863,flexion
5.5924606E-6,4.8040056E-5,0.6041,flexion
1.491825E-6,1.9787185E-5,0.12945,extension
1.1581717E-5,4.253533E-5,-0.15534,extension
2.5961324E-6,3.844263E-6,0.25027,flexion
1.826157E-6,1.26164705E-5,0.63862,flexion
1.0043364E-5,4.746858E-6,0.52643,extension
7.69394E-5,4.7403696E-6,0.31068,extension
1.2318691E-5,3.1619172E-6,0.02589,extension
3.246788E-5,7.2018033E-6,-0.12945,extension
8.947672E-6,4.58113E-6,-0.24164,extension
1.5993803E-5,5.554891E-8,-0.28479,extension
4.907667E-6,6.27362E-7,-0.28479,flexion
5.5651913E-6,9.788367E-6,-0.31931,extension
4.8956963E-6,2.8248834E-5,-0.31931,flexion
7.6294455E-8,2.4932904E-5,-0.31931,flexion
5.409533E-6,4.0312575E-6,-0.20712,flexion
4.755038E-6,7.0438095E-6,-0.06041,flexion
1.6765661E-6,1.7743461E-5,0.10356,flexion
5.23051E-6,1.0284718E-5,0.28479,flexion
1.0139671E-5,3.4807356E-6,0.56095,flexion
2.1507172E-5,1.0908659E-5,0.88026,flexion
2.7665581E-5,2.5769316E-6,0.88026,flexion
9.2033064E-5,1.9190102E-5,0.83711,extension
1.1373193E-5,7.68162E-7,0.83711,flexion
2.7668366E-5,1.5036086E-6,0.44013,extension
4.536031E-7,4.75279E-6,0.04315,extension
1.5576303E-5,1.4250178E-5,-0.06041,extension
4.145533E-6,1.1596492E-5,-0.19849,extension
6.2867566E-6,3.1087166E-5,-0.26753,extension
7.4214526E-8,4.509438E-5,-0.26753,flexion
1.2282918E-5,2.7271308E-5,-0.26753,flexion
1.354441E-5,4.2396667E-5,-0.26753,flexion
7.3981687E-7,5.3972312E-6,-0.15534,flexion
7.842054E-6,2.8964969E-6,0.01726,flexion
3.7879852E-6,2.7358318E-8,0.18123,flexion
1.0517914E-5,7.732608E-6,0.41424,flexion
3.6104335E-5,5.5999244E-6,0.80259,flexion
8.9059686E-5,5.363103E-6,1.00108,flexion
5.1581523E-5,1.3019279E-5,1.07012,flexion
2.9224237E-5,1.4258978E-6,1.07012,flexion
9.9143235E-6,2.4110339E-5,1.11327,flexion
1.1286807E-5,4.788212E-5,1.11327,flexion
2.2224995E-5,6.195437E-6,1.04423,extension
2.8804365E-5,2.7328515E-5,0.88889,extension
1.098914E-5,5.3230633E-6,0.78533,extension
